client_id,signup_date,industry,plan_type,contract_length_months,monthly_revenue,onboarding_days,support_tickets_90d,avg_logins_per_week,days_since_last_login,late_payments_count,nps_score,churned
CLT-1290,2024-04-15,Real Estate,Pro,6,903.14,14,9,4.8,42,0,36.0,0
CLT-1291,2023-08-22,Education,Basic,12,251.72,7,3,9.2,12,0,11.0,1
CLT-1292,2024-08-17,eCommerce,Enterprise,6,2396.82,16,3,0.0,11,1,48.0,1
CLT-1293,2023-08-06,eCommerce,Basic,6,418.24,12,2,6.3,5,1,19.0,0
CLT-1294,2023-11-04,Education,Pro,24,744.09,12,1,8.3,14,0,37.0,0
CLT-1295,2023-08-27,eCommerce,Enterprise,6,3288.45,10,5,4.7,36,1,43.0,1
CLT-1296,2023-10-29,Education,Enterprise,24,2116.18,21,2,6.9,13,0,18.0,0
CLT-1297,2023-11-27,Real Estate,Pro,6,1005.66,16,3,5.3,4,0,35.0,0
CLT-1298,2023-03-16,Finance,Pro,1,964.14,22,4,2.6,13,1,70.0,0
CLT-1299,2024-10-07,SaaS,Pro,6,1223.04,25,3,2.6,9,2,14.0,0
CLT-1300,2024-02-01,Finance,Pro,6,827.49,18,4,7.1,5,0,63.0,0
CLT-1301,2025-05-04,eCommerce,Basic,12,272.34,10,7,3.1,10,1,15.0,1
CLT-1302,2023-06-12,SaaS,Pro,1,1124.31,22,3,0.4,7,0,75.0,0
CLT-1303,2024-08-25,Education,Pro,12,1111.89,18,2,5.4,4,0,9.0,0
CLT-1304,2023-06-11,Real Estate,Enterprise,24,3048.77,35,1,3.5,1,2,20.0,0
CLT-1305,2024-05-07,Education,Basic,6,244.7,16,0,1.4,2,0,68.0,0
CLT-1306,2024-03-17,SaaS,Basic,6,286.79,20,1,5.2,24,1,69.0,1
CLT-1307,2024-02-08,SaaS,Pro,12,1173.54,16,4,7.3,7,2,50.0,0
CLT-1308,2024-08-12,Real Estate,Basic,12,348.15,13,3,5.1,4,1,3.0,0
CLT-1309,2025-01-15,Finance,Basic,12,348.4,12,1,1.8,9,2,32.0,0
CLT-1310,2023-10-13,Healthcare,Basic,1,293.26,16,3,6.4,14,1,30.0,0
CLT-1311,2025-02-03,Education,Basic,12,286.83,18,2,8.1,12,1,9.0,0
CLT-1312,2023-06-16,Finance,Basic,12,410.38,23,4,11.6,4,1,47.0,0
CLT-1313,2023-09-21,Finance,Basic,6,371.0,16,2,9.3,59,1,11.0,1
CLT-1314,2023-10-07,Real Estate,pro,1,262.84,10,8,2.0,4,3,-2.0,1
CLT-1315,2025-05-08,Logistics,Basic,24,408.79,11,2,7.6,4,0,-11.0,1
CLT-1316,2023-04-17,Real Estate,Basic,6,344.83,3,2,5.8,6,4,73.0,0
CLT-1317,2023-12-22,Logistics,Pro,6,900.02,27,5,1.5,28,3,17.0,1
CLT-1318,2024-01-17,Real Estate,Basic,1,311.49,10,1,5.9,10,1,18.0,0
CLT-1319,2024-12-21,Real Estate,Enterprise,12,3088.11,22,3,10.8,3,0,4.0,0
CLT-1320,2024-03-13,Real Estate,Enterprise,12,2564.41,16,1,8.6,6,1,64.0,0
CLT-1321,2025-05-20,Logistics,Basic,6,344.17,16,4,2.0,3,0,-5.0,0
CLT-1322,2024-10-28,Education,Basic,12,367.89,13,2,5.0,7,4,0.0,1
CLT-1323,2024-09-25,Finance,Pro,12,825.5,8,2,6.5,6,3,22.0,1
CLT-1324,2024-11-08,Logistics,Pro,6,1229.89,6,6,0.0,1,3,29.0,1
CLT-1325,2023-05-26,SaaS,Pro,24,912.33,28,2,0.0,4,2,46.0,1
CLT-1326,2024-02-09,Logistics,Pro,6,946.46,15,2,5.5,14,0,13.0,0
CLT-1327,2024-06-11,Healthcare,Pro,6,1097.2,23,4,5.5,23,0,69.0,1
CLT-1328,2023-07-07,SaaS,Pro,24,1048.74,25,4,0.0,5,1,13.0,1
CLT-1329,2023-04-17,SaaS,Basic,12,319.22,11,1,6.2,7,1,5.0,0
CLT-1330,2023-05-03,Logistics,Pro,6,1070.86,17,1,8.3,21,0,2.0,0
CLT-1331,2024-12-11,Finance,Basic,12,402.51,14,5,4.3,15,3,11.0,1
CLT-1332,2024-08-14,Real Estate,Pro,12,1152.15,5,3,5.2,32,0,1.0,0
CLT-1333,2023-09-11,Real Estate,Enterprise,6,3236.39,13,3,6.7,7,0,49.0,0
CLT-1334,2024-10-25,SaaS,Basic,12,286.51,19,2,6.3,2,0,5.0,0
CLT-1335,2024-09-17,Logistics,Pro,12,946.48,10,6,0.0,2,0,27.0,0
CLT-1336,2025-01-04,SaaS,Basic,6,339.69,11,3,2.3,6,1,4.0,1
CLT-1337,2025-03-30,Education,Pro,12,743.86,13,3,3.8,19,2,1.0,1
CLT-1338,2025-03-05,Education,Basic,6,378.56,31,5,2.4,20,2,58.0,1
CLT-1339,2023-06-12,Finance,Enterprise,1,2485.2,1,3,,4,2,70.0,0
CLT-1340,2024-11-23,eCommerce,Basic,24,290.87,18,0,6.9,3,2,62.0,0
CLT-1341,2023-12-20,eCommerce,Enterprise,12,2388.94,12,1,1.7,23,4,-7.0,1
CLT-1342,2023-12-29,Healthcare,Pro,12,873.02,9,4,4.4,14,1,-3.0,0
CLT-1343,2024-08-05,Education,Pro,12,902.53,12,5,8.4,1,0,79.0,0
CLT-1344,2024-06-25,eCommerce,Pro,12,1046.61,19,3,3.1,7,1,24.0,0
CLT-1345,2024-01-13,Finance,Pro,6,1035.13,20,3,7.6,11,3,-4.0,0
CLT-1346,2025-06-18,eCommerce,Enterprise,24,2383.57,15,4,9.1,24,1,57.0,0
CLT-1347,2023-06-07,SaaS,Basic,12,277.16,23,2,8.6,2,1,32.0,0
CLT-1348,2023-03-29,eCommerce,Pro,12,1166.23,24,6,5.5,24,2,44.0,0
CLT-1349,2023-01-27,Education,Basic,12,256.69,21,8,8.8,2,1,-26.0,1
CLT-1350,2025-01-02,Logistics,Pro,6,996.92,10,0,3.4,4,2,22.0,0
CLT-1351,2024-01-01,Healthcare,Basic,1,333.7,18,2,12.5,18,0,,0
CLT-1352,2024-01-29,Logistics,Pro,6,1030.03,18,2,5.7,44,1,14.0,0
CLT-1353,2024-08-07,Logistics,Pro,6,1198.25,7,5,8.4,1,1,61.0,0
CLT-1354,2024-01-27,Real Estate,Basic,12,352.3,1,1,3.9,36,2,-3.0,0
CLT-1355,2024-05-31,Real Estate,Pro,24,1245.76,1,4,6.5,4,2,27.0,1
CLT-1356,2023-02-22,SaaS,Pro,6,1190.53,15,7,6.6,12,1,71.0,0
CLT-1357,2023-05-21,eCommerce,Pro,6,835.96,16,2,2.2,6,3,1.0,0
CLT-1358,2025-04-18,Real Estate,Basic,12,283.41,5,1,2.1,11,2,,0
CLT-1359,2024-02-10,SaaS,Pro,1,906.18,22,1,4.4,13,1,45.0,0
CLT-1360,2023-05-31,Real Estate,Enterprise,24,2587.27,15,4,8.3,17,0,32.0,0
CLT-1361,2023-11-29,SaaS,Basic,6,339.54,25,2,0.0,0,2,24.0,0
CLT-1362,2023-10-29,Education,Basic,1,281.85,17,7,3.9,12,0,8.0,0
CLT-1363,2023-09-04,SaaS,Basic,6,280.02,5,4,8.9,5,1,35.0,0
CLT-1364,2023-09-22,SaaS,Pro,24,925.95,18,2,1.3,8,2,27.0,0
CLT-1365,2024-10-18,Logistics,Basic,6,360.96,19,1,8.8,34,1,-6.0,0
CLT-1366,2023-04-07,eCommerce,Pro,12,1091.59,10,1,1.6,17,1,57.0,1
CLT-1367,2023-10-06,Healthcare,Pro,6,1247.1,2,5,2.3,7,0,7.0,0
CLT-1368,2024-02-26,Healthcare,Basic,6,276.43,15,6,4.6,11,0,-5.0,0
CLT-1369,2024-05-01,eCommerce,Enterprise,24,2589.29,6,3,10.6,22,1,15.0,1
CLT-1370,2025-03-03,Education,Pro,1,1240.93,23,5,3.1,28,2,8.0,0
CLT-1371,2025-04-10,Logistics,Basic,1,364.2,11,7,0.0,5,1,24.0,0
CLT-1372,2023-09-25,eCommerce,Basic,12,346.61,28,2,0.8,1,1,-1.0,1
CLT-1373,2024-04-30,Logistics,Basic,24,337.14,1,1,7.8,14,1,41.0,0
CLT-1374,2023-01-21,Logistics,Basic,6,253.59,15,3,0.9,6,4,65.0,1
CLT-1375,2024-07-09,Real Estate,Basic,1,400.81,25,5,8.6,2,1,33.0,0
CLT-1376,2023-05-18,Logistics,Enterprise,24,2938.26,7,4,5.2,12,0,-6.0,0
CLT-1377,2023-03-07,Finance,Basic,12,342.9,13,0,,2,2,7.0,1
CLT-1378,2024-08-27,Real Estate,Basic,24,337.11,11,5,5.9,2,3,36.0,1
CLT-1379,2023-06-10,Healthcare,Pro,12,931.63,9,6,2.6,19,1,-19.0,1
CLT-1380,2024-03-05,Real Estate,Pro,12,857.52,16,6,5.4,10,0,-1.0,0
CLT-1381,2023-04-01,Education,Enterprise,6,3132.98,4,2,1.4,8,2,-11.0,0
CLT-1382,2024-11-02,Logistics,Pro,6,995.17,13,2,9.0,3,0,33.0,1
CLT-1383,2024-11-19,SaaS,Basic,12,246.11,18,3,1.9,14,0,84.0,0
CLT-1384,2024-06-01,Real Estate,Basic,12,311.84,12,2,6.3,9,1,-2.0,0
CLT-1385,2025-01-22,Education,Enterprise,24,3392.91,6,1,1.9,9,2,50.0,0
CLT-1386,2024-01-29,eCommerce,Pro,12,921.9,22,2,3.4,3,2,,0
CLT-1387,2023-06-17,Finance,Enterprise,6,2619.85,20,2,3.9,41,3,-3.0,0
CLT-1388,2023-05-17,Education,Basic,12,352.31,6,2,13.9,14,1,69.0,0
CLT-1389,2023-07-17,Education,Enterprise,12,3202.51,4,3,5.0,3,2,84.0,0
CLT-1390,2023-06-30,SaaS,Pro,12,1080.97,6,6,2.5,7,1,40.0,0
CLT-1391,2023-10-18,Logistics,Basic,12,393.01,18,4,3.7,26,1,39.0,1
CLT-1392,2023-07-12,Real Estate,Pro,12,781.54,16,4,0.5,28,2,32.0,1
CLT-1393,2024-06-15,Logistics,Pro,1,1219.28,20,6,4.5,8,1,26.0,0
CLT-1394,2023-05-14,Education,Basic,12,402.71,11,1,10.6,43,1,39.0,0
CLT-1395,2024-07-13,Healthcare,Basic,12,333.45,7,3,6.0,11,1,47.0,0
CLT-1396,2023-10-28,Real Estate,Pro,24,1057.36,21,3,7.7,6,2,72.0,0
CLT-1397,2024-09-10,Logistics,Basic,12,278.31,10,1,2.3,3,0,17.0,1
CLT-1398,2024-04-06,Education,Basic,12,320.63,15,2,4.4,8,3,33.0,0
CLT-1399,2025-03-25,Education,Basic,12,276.49,2,3,5.6,35,1,28.0,0
CLT-1400,2024-01-31,Healthcare,Basic,12,243.96,9,3,2.8,28,1,56.0,1
CLT-1401,2023-09-23,Finance,Enterprise,1,3471.35,22,3,6.2,28,0,90.0,0
CLT-1402,2024-06-14,SaaS,Pro,24,859.94,8,1,6.8,3,0,56.0,0
CLT-1403,2024-08-15,Real Estate,Basic,24,346.76,21,5,6.6,14,0,50.0,0
CLT-1404,2024-01-31,Logistics,Enterprise,12,2450.38,1,7,4.5,25,0,53.0,0
CLT-1405,2024-05-18,SaaS,Enterprise,12,2555.93,10,4,8.3,29,1,62.0,0
CLT-1406,2024-02-28,Real Estate,Basic,1,311.6,13,6,4.2,9,3,90.0,0
CLT-1407,2023-10-03,Logistics,Pro,12,900.93,28,3,4.0,13,1,-12.0,1
CLT-1408,2023-10-10,Logistics,Basic,12,354.73,5,1,9.3,0,2,45.0,0
CLT-1409,2025-03-27,SaaS,Enterprise,12,3441.4,19,2,1.7,23,2,-35.0,0
CLT-1410,2024-08-30,eCommerce,Pro,1,951.46,22,2,0.0,18,0,54.0,0
CLT-1411,2023-03-27,eCommerce,Pro,12,1245.6,8,4,2.4,22,4,44.0,1
CLT-1412,2025-05-15,Logistics,Basic,6,360.2,11,3,6.2,1,0,16.0,0
CLT-1413,2024-10-02,Healthcare,Enterprise,12,2910.7,15,4,8.9,43,3,-37.0,1
CLT-1414,2023-02-15,Logistics,Basic,12,282.68,2,7,3.0,4,1,30.0,0
CLT-1415,2024-10-17,Education,Basic,6,251.33,10,4,10.4,7,1,36.0,0
CLT-1416,2024-06-14,Education,Basic,12,393.35,24,2,5.1,11,0,28.0,0
CLT-1417,2025-04-03,eCommerce,Pro,12,1029.95,18,2,4.7,14,0,14.0,1
CLT-1418,2024-03-16,Finance,Basic,12,314.59,13,3,2.5,12,2,8.0,1
CLT-1419,2024-04-11,eCommerce,Enterprise,1,3217.95,15,1,10.9,5,1,29.0,0
CLT-1420,2023-10-11,SaaS,Pro,12,887.71,19,3,4.5,24,5,10.0,0
CLT-1421,2023-10-17,SaaS,Basic,6,381.05,20,1,1.0,3,1,50.0,0
CLT-1422,2024-07-10,eCommerce,Basic,12,299.03,10,4,12.4,2,3,28.0,0
CLT-1423,2025-01-14,Finance,Basic,12,405.76,26,6,6.2,9,1,-13.0,1
CLT-1424,2025-03-12,eCommerce,Pro,1,864.7,25,5,7.4,2,1,34.0,1
CLT-1425,2024-11-24,Logistics,Pro,12,794.28,19,4,10.0,41,0,40.0,0
CLT-1426,2024-07-02,Healthcare,Basic,12,365.66,7,0,6.8,15,1,70.0,0
CLT-1427,2024-03-26,SaaS,Pro,12,807.94,6,1,7.9,4,0,53.0,0
CLT-1428,2023-11-02,Real Estate,Basic,1,410.89,11,2,5.2,5,1,8.0,0
CLT-1429,2024-11-22,SaaS,Pro,6,1074.0,14,1,7.2,22,1,66.0,0
CLT-1430,2023-10-14,Real Estate,Enterprise,12,2346.29,1,2,4.9,5,0,-5.0,0
CLT-1431,2023-08-30,Real Estate,Pro,6,832.76,18,5,4.9,9,1,31.0,0
CLT-1432,2025-02-20,Real Estate,Pro,12,1218.89,24,2,5.4,25,1,49.0,1
CLT-1433,2024-06-14,eCommerce,Pro,1,1048.24,19,3,3.8,9,1,,0
CLT-1434,2023-11-15,Education,Basic,1,400.87,9,1,6.5,9,0,77.0,0
CLT-1435,2025-02-17,Logistics,Basic,12,259.84,8,2,6.5,4,3,62.0,0
CLT-1436,2025-05-16,eCommerce,Basic,6,406.57,16,5,7.5,11,1,27.0,0
CLT-1437,2023-10-14,Real Estate,Pro,12,1000.83,13,4,6.9,11,3,44.0,0
CLT-1438,2024-04-14,SaaS,Pro,1,1080.95,18,1,11.0,47,0,36.0,1
CLT-1439,2024-03-11,Finance,Pro,12,921.35,19,2,8.2,18,2,12.0,0
CLT-1440,2024-09-23,Education,Enterprise,6,2088.71,23,7,4.4,15,2,27.0,0
CLT-1441,2025-05-05,Healthcare,Basic,12,412.44,5,4,6.4,1,1,,0
CLT-1442,2024-05-08,Logistics,Pro,12,1257.08,16,1,9.2,15,0,46.0,0
CLT-1443,2024-12-19,Logistics,Basic,6,305.62,11,3,2.2,3,0,81.0,0
CLT-1444,2024-06-20,Logistics,Basic,12,409.9,13,4,11.0,12,1,3.0,0
CLT-1445,2025-03-09,SaaS,Pro,6,810.57,21,3,2.7,1,3,20.0,1
CLT-1446,2023-12-31,Finance,Enterprise,12,2232.03,22,2,7.7,2,0,40.0,0
CLT-1447,2023-12-13,Finance,Pro,1,759.48,25,2,5.0,26,2,49.0,0
CLT-1448,2024-01-16,Finance,Basic,12,310.43,17,5,4.8,8,0,27.0,0
CLT-1449,2025-06-15,Finance,Pro,6,748.24,13,2,1.1,9,3,50.0,0
CLT-1450,2024-07-04,Finance,Basic,24,311.04,12,3,7.7,24,1,50.0,0
CLT-1451,2023-05-18,Education,Enterprise,12,2207.59,1,2,1.1,21,1,-5.0,0
CLT-1452,2023-02-06,SaaS,Pro,12,1114.49,25,1,0.7,13,0,49.0,0
CLT-1453,2024-04-11,Real Estate,Basic,6,390.01,11,1,8.5,6,1,57.0,0
CLT-1454,2024-12-26,eCommerce,Basic,6,363.81,18,5,10.4,12,1,37.0,0
CLT-1455,2024-03-07,eCommerce,Basic,6,276.09,19,2,3.0,19,2,-16.0,0
CLT-1456,2024-05-19,Education,Enterprise,24,3150.27,4,5,8.0,34,1,23.0,0
CLT-1457,2024-12-19,Education,Basic,12,284.91,7,3,7.4,16,1,41.0,0
CLT-1458,2024-04-09,Real Estate,Pro,1,1130.12,26,3,4.7,1,1,8.0,0
CLT-1459,2025-03-28,Education,Pro,12,1026.39,16,1,9.0,29,0,53.0,0
CLT-1460,2024-07-28,SaaS,Pro,12,918.02,9,8,4.5,0,0,48.0,0
CLT-1461,2024-10-20,eCommerce,Basic,1,255.03,13,2,6.6,21,1,33.0,0
CLT-1462,2024-12-04,Finance,Enterprise,12,3241.26,23,5,1.2,10,0,30.0,0
CLT-1463,2024-07-18,Real Estate,Basic,1,409.14,21,7,,16,1,35.0,0
CLT-1464,2023-02-15,Real Estate,Pro,6,1079.6,2,3,8.5,2,0,30.0,0
CLT-1465,2024-01-20,Real Estate,Pro,12,1240.85,27,4,6.7,9,2,-2.0,0
CLT-1466,2023-05-08,eCommerce,Pro,6,1224.42,22,3,4.6,8,0,19.0,0
CLT-1467,2024-04-04,Education,Enterprise,24,2291.91,13,3,10.7,7,2,32.0,0
CLT-1468,2023-05-09,Education,Basic,12,371.62,4,4,10.7,7,2,65.0,0
CLT-1469,2024-04-03,Logistics,Pro,12,908.62,22,5,6.3,19,2,47.0,0
CLT-1470,2023-11-06,Healthcare,Basic,12,327.75,18,1,0.6,16,3,67.0,1
CLT-1471,2023-01-19,Logistics,Basic,24,268.25,2,7,4.7,4,1,-5.0,0
CLT-1472,2023-04-23,Finance,Basic,6,415.46,12,5,2.5,6,1,21.0,0
CLT-1473,2024-03-28,Logistics,Basic,12,370.7,39,2,5.3,10,0,82.0,1
CLT-1474,2023-03-12,Real Estate,Basic,12,288.04,14,1,2.2,6,1,11.0,1
CLT-1475,2025-02-09,eCommerce,Basic,24,306.86,8,4,1.4,56,1,11.0,0
CLT-1476,2024-11-13,Real Estate,Basic,6,316.05,6,3,0.0,4,2,23.0,1
CLT-1477,2024-09-30,Healthcare,Pro,12,1123.67,28,6,5.5,6,1,80.0,0
CLT-1478,2023-06-04,Logistics,Pro,12,1219.88,21,5,0.0,21,2,13.0,0
CLT-1479,2024-12-17,SaaS,Basic,6,297.86,25,3,4.0,52,0,44.0,0
CLT-1480,2024-07-25,eCommerce,Basic,24,325.05,16,4,7.1,7,1,40.0,1
CLT-1481,2023-12-18,Education,Basic,6,346.78,24,1,2.8,8,1,-18.0,0
CLT-1482,2023-01-01,Healthcare,Pro,6,932.41,7,4,1.7,23,0,30.0,0
CLT-1483,2024-04-21,Real Estate,Basic,12,330.75,15,3,4.8,0,1,16.0,0
CLT-1484,2024-12-17,Real Estate,Basic,12,259.03,16,3,2.5,2,3,47.0,0
CLT-1485,2023-01-31,Real Estate,Basic,1,270.18,25,2,5.6,22,4,73.0,1
CLT-1486,2023-02-17,Education,Basic,1,312.2,17,3,1.9,3,0,21.0,0
CLT-1487,2023-12-11,eCommerce,Basic,6,404.69,9,5,4.7,9,1,21.0,1
CLT-1488,2024-04-05,Education,Pro,12,908.65,15,4,4.0,48,1,93.0,1
CLT-1489,2024-03-02,eCommerce,Pro,24,854.89,1,1,5.0,3,3,12.0,0
CLT-1490,2024-01-19,Healthcare,Pro,12,1121.15,1,3,9.9,4,0,-4.0,0
CLT-1491,2023-08-18,Logistics,Pro,1,1232.53,21,3,5.6,42,0,64.0,0
CLT-1492,2023-02-23,Finance,Pro,12,967.93,11,2,6.5,29,1,29.0,0
CLT-1493,2023-01-29,eCommerce,Basic,24,241.55,12,1,3.1,7,1,37.0,1
CLT-1494,2023-03-30,Logistics,Pro,12,1091.6,21,3,5.7,7,3,86.0,0
CLT-1495,2024-09-13,SaaS,Pro,6,944.13,25,3,4.2,2,2,-5.0,1
CLT-1496,2024-12-08,SaaS,Basic,1,361.26,18,3,5.1,18,2,25.0,0
CLT-1497,2024-01-27,Education,Pro,24,869.97,29,2,6.9,1,1,-1.0,0
CLT-1498,2023-03-11,Education,Basic,24,240.43,18,4,3.5,37,2,38.0,0
CLT-1499,2024-01-10,Healthcare,Pro,1,906.03,16,3,3.8,6,1,16.0,0
CLT-1500,2025-06-06,Logistics,Pro,12,1100.59,16,1,3.5,1,1,1.0,0
CLT-1501,2023-08-13,Healthcare,Enterprise,1,2589.67,4,2,3.5,15,0,48.0,1
CLT-1502,2024-03-18,eCommerce,Enterprise,1,2328.76,22,4,5.5,20,1,30.0,0
CLT-1503,2024-04-29,Real Estate,Pro,12,970.56,1,5,3.9,7,0,-1.0,1
CLT-1504,2023-10-24,Healthcare,Pro,12,1126.27,9,2,9.5,13,0,0.0,0
CLT-1505,2024-01-30,Education,Pro,12,784.49,14,1,13.0,10,0,35.0,0
CLT-1506,2024-02-29,Healthcare,Basic,24,364.52,8,3,3.3,24,2,-12.0,0
CLT-1507,2024-03-02,Healthcare,Pro,12,1080.37,10,2,5.9,8,2,36.0,0
CLT-1508,2024-10-07,Real Estate,Basic,1,306.73,29,5,8.1,36,0,63.0,0
CLT-1509,2024-06-06,Education,Basic,12,414.66,23,2,4.2,19,0,47.0,0
CLT-1510,2023-02-18,eCommerce,Basic,12,401.05,9,3,2.0,11,2,14.0,0
CLT-1511,2023-01-06,Finance,Pro,12,890.73,10,4,10.2,4,0,37.0,0
CLT-1512,2024-01-05,Real Estate,Basic,24,245.6,4,2,7.1,3,0,-1.0,0
CLT-1513,2025-03-27,Logistics,Basic,12,295.49,20,1,6.0,23,1,33.0,1
CLT-1514,2023-02-03,Finance,Basic,1,276.85,12,3,9.4,3,2,22.0,0
CLT-1515,2023-03-05,Real Estate,Basic,6,338.51,1,2,7.3,8,0,4.0,0
CLT-1516,2024-09-03,eCommerce,Basic,12,405.37,15,2,,4,1,46.0,0
CLT-1517,2024-02-10,Education,Pro,24,1189.98,18,4,2.1,7,2,-19.0,0
CLT-1518,2023-07-27,SaaS,Basic,1,295.05,22,4,3.5,0,0,0.0,0
CLT-1519,2023-07-06,Real Estate,Pro,1,951.44,13,4,8.6,3,3,3.0,1
CLT-1520,2024-08-21,Finance,Enterprise,12,2054.81,11,1,7.0,13,2,17.0,0
CLT-1521,2024-04-16,Healthcare,Basic,1,337.95,30,3,4.4,16,0,62.0,1
CLT-1522,2024-07-28,Logistics,Basic,1,251.41,14,3,10.3,27,5,49.0,1
CLT-1523,2023-09-10,Real Estate,Pro,24,1226.85,20,3,4.5,3,1,33.0,0
CLT-1524,2024-04-18,eCommerce,Basic,12,396.05,10,3,8.0,1,0,31.0,0
CLT-1525,2025-02-13,Healthcare,Basic,24,278.55,20,5,5.7,2,0,30.0,0
CLT-1526,2023-10-12,Real Estate,Enterprise,12,3049.05,2,5,10.8,8,0,64.0,0
CLT-1527,2023-12-23,SaaS,Enterprise,6,2852.03,10,2,7.3,2,0,-15.0,0
CLT-1528,2023-05-28,Healthcare,Pro,24,1152.73,4,3,5.1,8,6,49.0,1
CLT-1529,2024-07-28,Healthcare,Basic,6,325.62,9,1,4.5,20,0,17.0,1
CLT-1530,2023-01-30,Education,Pro,6,823.56,24,2,5.0,23,2,43.0,0
CLT-1531,2023-08-12,SaaS,Pro,24,1065.52,9,2,2.8,13,1,43.0,0
CLT-1532,2024-10-03,Education,Basic,12,254.45,20,2,0.9,9,0,48.0,0
CLT-1533,2023-01-18,Healthcare,Pro,24,1035.68,26,0,5.9,8,2,70.0,0
CLT-1534,2025-06-09,Logistics,Basic,6,278.29,14,1,3.4,10,1,-4.0,0
CLT-1535,2023-12-30,Real Estate,Basic,24,363.29,22,0,3.4,8,2,55.0,0
CLT-1536,2023-12-25,Healthcare,Pro,12,1167.14,18,1,4.7,0,5,28.0,0
CLT-1537,2024-04-27,Finance,Basic,12,259.71,15,2,5.2,7,2,18.0,0
CLT-1538,2024-07-29,eCommerce,Basic,24,312.05,20,7,5.0,4,0,81.0,0
CLT-1539,2024-02-18,SaaS,Pro,6,1116.1,29,3,10.2,0,0,48.0,0
CLT-1540,2025-03-06,Education,Enterprise,12,2245.55,9,3,7.0,3,0,20.0,0
CLT-1541,2025-05-15,Logistics,Pro,12,1025.92,6,2,11.3,11,1,54.0,0
CLT-1542,2023-06-30,Finance,Pro,12,1082.79,6,3,3.7,0,1,29.0,0
CLT-1543,2024-09-28,Real Estate,Enterprise,24,2532.19,22,1,7.4,1,0,19.0,0
CLT-1544,2023-09-28,SaaS,Basic,12,389.76,23,2,3.8,4,2,15.0,0
CLT-1545,2025-06-15,SaaS,Basic,1,331.92,10,2,3.3,10,1,38.0,1
CLT-1546,2023-08-16,Real Estate,Basic,6,352.86,1,4,11.4,10,1,15.0,1
CLT-1547,2023-09-23,eCommerce,Basic,24,265.36,9,5,2.7,9,1,34.0,0
CLT-1548,2024-10-04,Finance,Pro,24,732.51,18,1,0.0,12,0,52.0,0
CLT-1549,2024-12-11,SaaS,Basic,24,249.13,13,1,2.9,0,2,33.0,0
CLT-1550,2023-04-26,Finance,Basic,1,402.71,15,3,0.0,1,2,79.0,0
CLT-1551,2024-05-15,eCommerce,Basic,6,398.88,10,3,2.1,28,1,30.0,1
CLT-1552,2023-11-08,SaaS,Basic,12,385.37,22,4,2.4,4,2,64.0,0
CLT-1553,2024-07-04,eCommerce,Enterprise,12,2299.42,17,2,5.1,16,0,54.0,1
CLT-1554,2024-05-16,eCommerce,Basic,1,334.58,19,4,0.0,1,0,68.0,0
CLT-1555,2025-06-06,Healthcare,Basic,12,383.3,15,3,8.6,6,1,79.0,1
CLT-1556,2025-04-20,Healthcare,Basic,1,361.44,18,4,0.0,7,1,-14.0,1
CLT-1557,2024-08-11,Real Estate,Basic,12,260.79,18,4,4.6,12,1,37.0,1
CLT-1558,2024-09-03,Real Estate,Pro,6,1203.59,7,1,4.0,24,1,27.0,0
CLT-1559,2025-03-19,SaaS,Basic,1,268.92,17,4,7.5,6,2,33.0,0
CLT-1560,2023-06-15,SaaS,Basic,1,270.92,20,6,6.1,2,2,20.0,0
CLT-1561,2024-10-15,eCommerce,Basic,24,402.18,23,2,8.6,8,3,16.0,0
CLT-1562,2024-11-25,eCommerce,Pro,12,981.69,17,5,3.9,1,0,3.0,0
CLT-1563,2023-04-25,SaaS,Pro,24,921.36,6,3,3.6,19,3,32.0,0
CLT-1564,2025-03-04,Healthcare,Pro,12,1018.97,8,3,6.2,7,1,53.0,0
CLT-1565,2024-09-21,Real Estate,Pro,12,1249.95,11,1,8.1,1,1,18.0,0
CLT-1566,2023-11-09,Healthcare,Pro,6,784.6,16,2,7.5,3,2,22.0,0
CLT-1567,2024-03-11,Healthcare,Basic,12,376.25,13,3,6.0,13,1,13.0,0
CLT-1568,2024-03-16,Real Estate,Basic,6,300.18,5,5,5.7,11,2,5.0,0
CLT-1569,2025-04-06,Real Estate,Pro,12,783.21,5,2,4.9,2,1,24.0,1
CLT-1570,2025-05-22,Healthcare,Basic,12,315.95,1,3,6.2,1,0,39.0,0
CLT-1571,2024-12-27,eCommerce,Pro,24,1016.33,1,2,11.1,20,1,61.0,0
CLT-1572,2024-08-09,Healthcare,Basic,6,277.07,13,4,4.3,0,4,0.0,0
CLT-1573,2023-04-04,SaaS,Pro,12,938.85,33,3,3.9,5,1,29.0,0
CLT-1574,2025-04-03,Real Estate,Enterprise,6,2953.51,28,3,3.7,5,1,59.0,0
CLT-1575,2023-05-01,Finance,Pro,1,1031.28,6,4,6.2,5,2,1.0,1
CLT-1576,2023-05-31,Healthcare,Enterprise,12,3084.74,15,6,0.0,4,2,62.0,0
CLT-1577,2023-03-04,SaaS,Pro,12,1171.66,2,4,4.6,11,3,19.0,0
CLT-1578,2025-05-02,Logistics,Enterprise,12,2613.71,4,5,7.6,22,0,48.0,0
CLT-1579,2024-03-19,SaaS,Basic,1,316.13,4,3,3.4,11,0,25.0,0
CLT-1580,2023-08-01,eCommerce,Basic,24,329.4,12,3,5.6,7,2,41.0,0
